feature,importance,fold
BUREAU_AMT_CREDIT_SUM_LIMIT_MIN,1812.836805343628,2
BUREAU_AMT_CREDIT_SUM_LIMIT_STD,7895.110485076904,2
BUREAU_AMT_ANNUITY_SUM,8495.865999221802,2
BUREAU_AMT_ANNUITY_MEAN,8565.90789604187,2
BUREAU_AMT_ANNUITY_MAX,9466.777404785156,2
BUREAU_AMT_ANNUITY_MIN,6628.534812927246,2
BUREAU_AMT_ANNUITY_STD,8392.157684326172,2
BUREAU_CREDIT_ACTIVE_NUNIQUE,1503.330795288086,2
BUREAU_CREDIT_ACTIVE_<LAMBDA_0>,28997.474809646606,2
PREV_AMT_ANNUITY_SUM,29332.290491104126,2
PREV_AMT_ANNUITY_MEAN,39639.747385025024,2
PREV_AMT_ANNUITY_MAX,37651.4612827301,2
PREV_AMT_ANNUITY_MIN,45375.27599143982,2
PREV_AMT_ANNUITY_STD,34443.8781375885,2
PREV_AMT_APPLICATION_SUM,27338.136028289795,2
PREV_AMT_APPLICATION_MEAN,26470.988878250122,2
PREV_AMT_APPLICATION_MAX,21241.305402755737,2
PREV_AMT_APPLICATION_MIN,17752.31651687622,2
PREV_AMT_APPLICATION_STD,25140.317026138306,2
PREV_AMT_CREDIT_SUM,26571.327039718628,2
PREV_AMT_CREDIT_MEAN,27977.640135765076,2
PREV_AMT_CREDIT_MAX,29437.814990997314,2
PREV_AMT_CREDIT_MIN,21413.66579055786,2
PREV_AMT_CREDIT_STD,32581.400254249573,2
PREV_AMT_DOWN_PAYMENT_SUM,78406.52426338196,2
PREV_AMT_DOWN_PAYMENT_MEAN,33003.62909793854,2
PREV_AMT_DOWN_PAYMENT_MAX,35487.9199256897,2
PREV_AMT_DOWN_PAYMENT_MIN,16705.91158771515,2
PREV_AMT_DOWN_PAYMENT_STD,30625.10856437683,2
PREV_NAME_CONTRACT_STATUS_<LAMBDA>,62344.5231590271,2
PREV_DAYS_DECISION_MIN,53104.416142463684,2
PREV_DAYS_DECISION_MAX,49542.429960250854,2
INST_DAYS_LATE_MEAN,41707.85084915161,2
INST_DAYS_LATE_MAX,56556.252447128296,2
INST_DAYS_LATE_SUM,51649.50095367432,2
INST_DAYS_LATE_STD,56397.145661354065,2
INST_LATE_FLAG_SUM,15446.969745635986,2
INST_LATE_FLAG_MEAN,143379.00986003876,2
INST_AMT_PAYMENT_SUM,74969.28348636627,2
INST_AMT_PAYMENT_MEAN,37955.30435657501,2
INST_AMT_PAYMENT_MAX,74795.24989318848,2
CC_CC_UTIL_MEAN,56230.897956848145,2
CC_CC_UTIL_MAX,34834.87274646759,2
CC_CC_UTIL_STD,11250.582809448242,2
CC_AMT_BALANCE_MEAN,21994.063262939453,2
CC_AMT_BALANCE_MAX,16292.569756507874,2
CC_SK_ID_PREV_NUNIQUE,361.96129608154297,2
CC_SK_ID_PREV_COUNT,39364.10678100586,2
POS_MONTHS_BALANCE_MIN,60489.75609207153,2
POS_MONTHS_BALANCE_MAX,41676.31253147125,2
