feature,coef,fold
COMMONAREA_AVG,-0.0007768869542829461,2
ELEVATORS_AVG,-2.6729478109158222e-05,2
ENTRANCES_AVG,-0.004163188616365021,2
FLOORSMAX_AVG,0.06195634185327733,2
FLOORSMIN_AVG,0.0005736782431102307,2
LANDAREA_AVG,0.0006549540894160217,2
LIVINGAPARTMENTS_AVG,-0.017932665923484994,2
LIVINGAREA_AVG,0.0189608726088006,2
NONLIVINGAPARTMENTS_AVG,0.0035717656828979185,2
NONLIVINGAREA_AVG,-0.008479615899181621,2
APARTMENTS_MODE,-0.005125556943366321,2
BASEMENTAREA_MODE,-0.0017624349940956,2
YEARS_BEGINEXPLUATATION_MODE,0.00046358913074514104,2
YEARS_BUILD_MODE,0.0021127233984643496,2
COMMONAREA_MODE,-0.0007680394382798191,2
ELEVATORS_MODE,0.00010790571081344985,2
ENTRANCES_MODE,-0.0041386756779890855,2
FLOORSMAX_MODE,-0.07114268958528853,2
FLOORSMIN_MODE,0.0005075769771564609,2
LANDAREA_MODE,0.0005964648596985837,2
LIVINGAPARTMENTS_MODE,-0.017959142420732224,2
LIVINGAREA_MODE,0.018902418158538468,2
NONLIVINGAPARTMENTS_MODE,0.0036135768424151514,2
NONLIVINGAREA_MODE,-0.008614332789874163,2
APARTMENTS_MEDI,-0.005154723020759877,2
BASEMENTAREA_MEDI,-0.001750013765065579,2
YEARS_BEGINEXPLUATATION_MEDI,-0.10492863499337568,2
YEARS_BUILD_MEDI,0.0021409513627166574,2
COMMONAREA_MEDI,-0.000807484525822001,2
ELEVATORS_MEDI,-3.024787706466242e-05,2
ENTRANCES_MEDI,-0.004160492841379344,2
FLOORSMAX_MEDI,-0.0315593260079608,2
FLOORSMIN_MEDI,0.0005623802330512601,2
LANDAREA_MEDI,0.0006260286683771164,2
LIVINGAPARTMENTS_MEDI,-0.01792718114152501,2
LIVINGAREA_MEDI,0.018905542038626107,2
NONLIVINGAPARTMENTS_MEDI,0.0035821563999646434,2
NONLIVINGAREA_MEDI,-0.008544779483395305,2
TOTALAREA_MODE,0.014404389000558493,2
OBS_30_CNT_SOCIAL_CIRCLE,0.04659085035863988,2
DEF_30_CNT_SOCIAL_CIRCLE,0.035421366916687645,2
OBS_60_CNT_SOCIAL_CIRCLE,-0.03780353488360367,2
DEF_60_CNT_SOCIAL_CIRCLE,0.041272437791336034,2
DAYS_LAST_PHONE_CHANGE,0.056824054928902384,2
FLAG_DOCUMENT_2,0.02268871448351935,2
FLAG_DOCUMENT_3,0.19598442511998998,2
FLAG_DOCUMENT_4,-0.0490803831453992,2
FLAG_DOCUMENT_5,0.03827568580739994,2
FLAG_DOCUMENT_6,0.10501433134651074,2
FLAG_DOCUMENT_7,0.005889607650697429,2
FLAG_DOCUMENT_8,0.0745467530031948,2
FLAG_DOCUMENT_9,0.019780206105238337,2
FLAG_DOCUMENT_10,-0.027932974599189198,2
FLAG_DOCUMENT_11,-0.007106026263072956,2
FLAG_DOCUMENT_12,-0.010138086319189346,2
FLAG_DOCUMENT_13,-0.0387126796582966,2
FLAG_DOCUMENT_14,-0.025053926931692443,2
FLAG_DOCUMENT_15,-0.03919403749738745,2
FLAG_DOCUMENT_16,-0.04000494187663074,2
FLAG_DOCUMENT_17,-0.009348681101260671,2
FLAG_DOCUMENT_18,-0.04520838595779314,2
FLAG_DOCUMENT_19,-0.008718605777698018,2
FLAG_DOCUMENT_20,0.0011713695411327337,2
FLAG_DOCUMENT_21,0.0008502156188305333,2
AMT_REQ_CREDIT_BUREAU_HOUR,-0.002412234478142197,2
AMT_REQ_CREDIT_BUREAU_DAY,0.012698226306845929,2
AMT_REQ_CREDIT_BUREAU_WEEK,-0.009669459633253004,2
AMT_REQ_CREDIT_BUREAU_MON,-0.030525449967508216,2
AMT_REQ_CREDIT_BUREAU_QRT,-0.050606058614066335,2
AMT_REQ_CREDIT_BUREAU_YEAR,-0.0078000382073421465,2
AMT_ANNUITY_NA,-0.03492845718985324,2
AMT_GOODS_PRICE_NA,0.023133051936925584,2
AGE_YEARS,-0.04218388634251133,2
CREDIT_INCOME_RATIO,0.007969026966128029,2
BUREAU_AMT_CREDIT_SUM_SUM,-0.10160794896346326,2
BUREAU_AMT_CREDIT_SUM_MEAN,0.042922531364886524,2
BUREAU_AMT_CREDIT_SUM_MAX,0.024314095716963302,2
BUREAU_AMT_CREDIT_SUM_MIN,-0.04535804585140467,2
BUREAU_AMT_CREDIT_SUM_STD,-0.09570605059335197,2
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.2686622110350239,2
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,-0.1118209136739617,2
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,-0.32450617443095087,2
BUREAU_AMT_CREDIT_SUM_DEBT_MIN,0.10862579140590024,2
BUREAU_AMT_CREDIT_SUM_DEBT_STD,0.1966806310338205,2
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,0.011955842471513418,2
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,0.05169916702319299,2
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,0.023990414746112586,2
BUREAU_AMT_CREDIT_SUM_LIMIT_MIN,-0.06452487944588875,2
BUREAU_AMT_CREDIT_SUM_LIMIT_STD,-0.1380180378923501,2
BUREAU_AMT_ANNUITY_SUM,-0.016241488281082808,2
BUREAU_AMT_ANNUITY_MEAN,0.023334449766929524,2
BUREAU_AMT_ANNUITY_MAX,0.060623631046021566,2
BUREAU_AMT_ANNUITY_MIN,-0.026236790847816167,2
BUREAU_AMT_ANNUITY_STD,-0.0571889387195055,2
BUREAU_CREDIT_ACTIVE_NUNIQUE,-0.025687301311802718,2
BUREAU_CREDIT_ACTIVE_<LAMBDA_0>,0.11480146078831187,2
PREV_AMT_ANNUITY_SUM,-0.15499096468512996,2
PREV_AMT_ANNUITY_MEAN,-0.03214010477116511,2
PREV_AMT_ANNUITY_MAX,-0.18919551463102563,2
PREV_AMT_ANNUITY_MIN,-0.01758534407315273,2
PREV_AMT_ANNUITY_STD,0.0774534014598029,2
